Fecha,Año,Mes,CCAA,Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),Consumo per capita,Gasto per capita
2020-03,2020,3,Cantabria,T.FRUTAS FRESCAS,4349.67,7289.96,1.68,98.22,8.1,13.57
2020-03,2020,3,Castilla-La Mancha,T.FRUTAS FRESCAS,15218.73,24066.17,1.58,94.48,7.61,12.04
2020-03,2020,3,Castilla y León,T.FRUTAS FRESCAS,21915.57,33389.35,1.52,97.69,9.56,14.57
2020-03,2020,3,Cataluña\/Catalunya,T.FRUTAS FRESCAS,61118.68,108691.72,1.78,96.54,8.85,15.74
2020-03,2020,3,Extremadura,T.FRUTAS FRESCAS,8204.31,12676.36,1.55,96.4,7.32,11.31
2020-03,2020,3,Galicia,T.FRUTAS FRESCAS,25376.01,42339.4,1.67,98.01,9.77,16.31
2020-03,2020,3,La Rioja,T.FRUTAS FRESCAS,2339.27,3891.79,1.66,97.63,7.62,12.68
2020-03,2020,3,Comunidad de Madrid,T.FRUTAS FRESCAS,52243.97,91512.44,1.75,97.21,8.58,15.03
2020-03,2020,3,Región de Murcia,T.FRUTAS FRESCAS,9698.09,15905.34,1.64,97.73,6.98,11.46
2020-03,2020,3,Comunidad Foral de Navarra,T.FRUTAS FRESCAS,5150.87,8875.12,1.72,96.53,8.97,15.45
2020-03,2020,3,País Vasco,T.FRUTAS FRESCAS,20221.26,35504.65,1.76,98.34,9.98,17.52
2020-03,2020,3,Comunitat Valenciana,T.FRUTAS FRESCAS,34372.29,57739.19,1.68,96.92,7.38,12.4
2020-04,2020,4,Andalucía,T.HORTALIZAS FRESCAS,51839.23,98675.53,1.9,98.26,6.21,11.83
2020-04,2020,4,Aragón,T.HORTALIZAS FRESCAS,10415.76,21206.8,2.04,98.04,8.28,16.85
2020-04,2020,4,Principado de Asturias,T.HORTALIZAS FRESCAS,5421.9,11809.99,2.18,98,5.29,11.53
2020-04,2020,4,Illes Balears,T.HORTALIZAS FRESCAS,9985.16,21727.58,2.18,99.2,9.77,21.26
2020-04,2020,4,Canarias,T.HORTALIZAS FRESCAS,15659.2,29793.8,1.9,98.9,7.3,13.89
2020-04,2020,4,Cantabria,T.HORTALIZAS FRESCAS,2504.67,5238.19,2.09,98.82,4.66,9.75
2020-04,2020,4,Castilla-La Mancha,T.HORTALIZAS FRESCAS,10694.84,21587.95,2.02,96.88,5.35,10.8
2020-04,2020,4,Castilla y León,T.HORTALIZAS FRESCAS,12900.59,25235.42,1.96,97.44,5.63,11.01
2020-04,2020,4,Cataluña\/Catalunya,T.HORTALIZAS FRESCAS,56651.29,120584.52,2.13,98.72,8.2,17.46
2020-04,2020,4,Extremadura,T.HORTALIZAS FRESCAS,6295.86,12438.46,1.98,97.49,5.62,11.09
2020-04,2020,4,Galicia,T.HORTALIZAS FRESCAS,14693,30392.91,2.07,97.94,5.66,11.71
2020-04,2020,4,La Rioja,T.HORTALIZAS FRESCAS,1580.79,3444.01,2.18,96.35,5.15,11.22
2020-04,2020,4,Comunidad de Madrid,T.HORTALIZAS FRESCAS,43162.75,88193.52,2.04,98.75,7.09,14.49
2020-04,2020,4,Región de Murcia,T.HORTALIZAS FRESCAS,9391.14,18826.17,2,97.32,6.76,13.56
2020-04,2020,4,Comunidad Foral de Navarra,T.HORTALIZAS FRESCAS,4148.54,8800.27,2.12,98.05,7.22,15.32
2020-04,2020,4,País Vasco,T.HORTALIZAS FRESCAS,15242.19,34033.33,2.23,98.02,7.52,16.8
2020-04,2020,4,Comunitat Valenciana,T.HORTALIZAS FRESCAS,33227.32,66829.31,2.01,98.15,7.13,14.35
2020-04,2020,4,Andalucía,T.FRUTAS FRESCAS,68180.69,113798.92,1.67,97.21,8.17,13.64
2020-04,2020,4,Aragón,T.FRUTAS FRESCAS,13538.71,23184.39,1.71,98.78,10.76,18.42
